State/Territory,Suburb/Locality,Postcode,MMM classification,,
New South Wales,BISHOPS BRIDGE,2326,2,,
New South Wales,BITHRAMERE,2340,3,,
New South Wales,BLACK CREEK (NSW 2439),2439,5,,
New South Wales,BLACK CREEK (NSW 2729),2729,5,,
New South Wales,BLACK HEAD,2430,3,,
New South Wales,BLACK HILL (NSW),2322,1,,
New South Wales,BLACK HOLLOW,2828,6,,
New South Wales,BLACK MOUNTAIN (NSW),2365,5,,
New South Wales,BLACK RANGE (NSW),2550,5,,
New South Wales,BLACK SPRINGS (NSW),2787,5,,
New South Wales,BLACKALLS PARK,2283,1,,
New South Wales,BLACKBUTT (NSW),2529,1,,
New South Wales,BLACKETT,2770,1,,
New South Wales,BLACKHEATH (NSW),2785,3,,
New South Wales,BLACKMANS FLAT,2790,5,,
New South Wales,BLACKMANS POINT,2444,3,,
New South Wales,BLACKSMITHS,2281,1,,
New South Wales,BLACKTOWN,2148,1,,
New South Wales,BLACKVILLE,2343,5,,
New South Wales,BLACKWALL (NSW),2256,1,,
New South Wales,BLAIR ATHOL (NSW),2560,1,,
New South Wales,BLAIRMOUNT,2559,1,,
New South Wales,BLAKEBROOK,2480,3,,
New South Wales,BLAKEHURST,2221,1,,
New South Wales,BLAKNEY CREEK,2581,5,,
New South Wales,BLAND,2721,5,,
New South Wales,BLANDFORD,2338,5,,
New South Wales,BLAXLAND (NSW),2774,1,,
New South Wales,BLAXLANDS CREEK,2460,5,,
New South Wales,BLAXLANDS RIDGE,2758,2,,
New South Wales,BLAYNEY,2799,5,,
New South Wales,BLIGH PARK,2756,1,,
New South Wales,BLIGHTY,2713,5,,
New South Wales,BLOWERING,2720,5,,
New South Wales,BLUE BAY,2261,1,,
New South Wales,BLUE HAVEN,2262,1,,
New South Wales,BLUE KNOB,2480,5,,
New South Wales,BLUE MOUNTAINS NATIONAL PARK,2787,1,,
New South Wales,BLUE NOBBY,2408,5,,
New South Wales,BLUE VALE,2380,5,,
New South Wales,BLUEYS BEACH,2428,5,,
New South Wales,BOAMBEE,2450,3,,
New South Wales,BOAMBEE EAST,2452,3,,
New South Wales,BOAMBOLO,2582,4,,
New South Wales,BOAT HARBOUR (NSW 2316),2316,4,,
New South Wales,BOAT HARBOUR (NSW 2480),2480,3,,
New South Wales,BOBADAH,2877,6,,
New South Wales,BOBIN,2429,5,,
New South Wales,BOBS CREEK,2443,4,,
New South Wales,BOBS FARM,2316,4,,
New South Wales,BOBUNDARA,2630,5,,
New South Wales,BOCO,2631,5,,
New South Wales,BOCOBLE,2850,5,,
New South Wales,BOCOBRA,2865,5,,
New South Wales,BODALLA,2545,5,,
New South Wales,BODANGORA,2820,5,,
New South Wales,BOEILL CREEK,2739,3,,
New South Wales,BOGAN,2826,6,,
New South Wales,BOGAN GATE,2876,5,,
New South Wales,BOGANGAR,2488,1,,
New South Wales,BOGEE,2849,5,,
New South Wales,BOGGABILLA,2409,4,,
New South Wales,BOGGABRI,2382,5,,
New South Wales,BOGONG PEAKS WILDERNESS,2720,5,,
New South Wales,BOHENA CREEK,2390,5,,
New South Wales,BOHNOCK,2430,3,,
New South Wales,BOLARO,2629,5,,
New South Wales,BOLIVIA,2372,5,,
New South Wales,BOLONG,2540,3,,
New South Wales,BOLTON POINT,2283,1,,
New South Wales,BOLWARRA (NSW),2320,1,,
New South Wales,BOLWARRA HEIGHTS,2320,1,,
New South Wales,BOM BOM,2460,3,,
New South Wales,BOMADERRY,2541,3,,
