LGA_Code,LGA_Name,Year,Estimated_resident_population_(no.),Persons_Aged_0-14,Percent_Aged_0-14,Persons_Aged_15-24,Percent_Aged_15-24,Persons_Aged_25-34,Percent_Aged_25-34,Persons_Aged_35-44,Percent_Aged_35-44,Persons_Aged_45-54,Percent_Aged_45-54,Persons_Aged_55-64,Percent_Aged_55-64,Persons_Aged_65+,Percent_Aged_65+
57350,Quairading,2020,984,164,16.7,54,5.5,87,8.8,89,9,122,12.4,185,18.8,283,28.8
57350,Quairading,2021,981,159,16.2,55,5.6,79,8.1,85,8.7,130,13.3,171,17.4,302,30.8
57350,Quairading,2022,983,177,18,51,5.2,86,8.7,72,7.3,132,13.4,168,17.1,297,30.2
57350,Quairading,2023,973,179,18.4,53,5.4,93,9.6,81,8.3,112,11.5,156,16,299,30.7
57420,Ravensthorpe,2020,2023,374,18.5,154,7.6,288,14.2,254,12.6,295,14.6,302,14.9,356,17.6
57420,Ravensthorpe,2021,2157,421,19.5,155,7.2,310,14.4,266,12.3,308,14.3,321,14.9,376,17.4
57420,Ravensthorpe,2022,2202,431,19.6,165,7.5,311,14.1,276,12.5,300,13.6,330,15,389,17.7
57420,Ravensthorpe,2023,2277,459,20.2,150,6.6,321,14.1,296,13,290,12.7,340,14.9,421,18.5
57490,Rockingham,2020,137931,30534,22.1,17509,12.7,19319,14,18588,13.5,18181,13.2,15393,11.2,18407,13.3
57490,Rockingham,2021,140584,30798,21.9,17615,12.5,19293,13.7,19055,13.6,18422,13.1,15993,11.4,19408,13.8
57490,Rockingham,2022,143754,30923,21.5,18205,12.7,19410,13.5,19674,13.7,18608,12.9,16619,11.6,20315,14.1
57490,Rockingham,2023,148822,31208,21,19535,13.1,20281,13.6,20779,14,18856,12.7,17097,11.5,21066,14.2
57630,Sandstone,2020,109,1,0.9,9,8.3,10,9.2,9,8.3,13,11.9,33,30.3,34,31.2
57630,Sandstone,2021,117,1,0.9,8,6.8,18,15.4,10,8.5,17,14.5,28,23.9,35,29.9
57630,Sandstone,2022,119,1,0.8,10,8.4,19,16,9,7.6,15,12.6,29,24.4,36,30.3
57630,Sandstone,2023,116,1,0.9,6,5.2,28,24.1,8,6.9,14,12.1,22,19,37,31.9
57700,Serpentine-Jarrahdale,2020,32437,8098,25,3838,11.8,5207,16.1,4658,14.4,4161,12.8,3311,10.2,3164,9.8
57700,Serpentine-Jarrahdale,2021,33349,8389,25.2,3866,11.6,5168,15.5,4942,14.8,4202,12.6,3464,10.4,3318,9.9
57700,Serpentine-Jarrahdale,2022,34795,8767,25.2,4067,11.7,5291,15.2,5317,15.3,4208,12.1,3634,10.4,3511,10.1
57700,Serpentine-Jarrahdale,2023,36739,9026,24.6,4497,12.2,5647,15.4,5646,15.4,4370,11.9,3772,10.3,3781,10.3
57770,Shark Bay,2020,1041,175,16.8,86,8.3,158,15.2,143,13.7,115,11,166,15.9,198,19
57770,Shark Bay,2021,1069,166,15.5,75,7,164,15.3,148,13.8,133,12.4,175,16.4,208,19.5
57770,Shark Bay,2022,1082,162,15,76,7,170,15.7,161,14.9,127,11.7,175,16.2,211,19.5
57770,Shark Bay,2023,1129,165,14.6,86,7.6,189,16.7,170,15.1,119,10.5,177,15.7,223,19.8
57840,South Perth,2020,45072,6594,14.6,6354,14.1,6994,15.5,5884,13.1,5497,12.2,5444,12.1,8305,18.4
57840,South Perth,2021,44952,6512,14.5,6197,13.8,6936,15.4,5896,13.1,5454,12.1,5316,11.8,8641,19.2
57840,South Perth,2022,45201,6346,14,6207,13.7,7135,15.8,6011,13.3,5463,12.1,5236,11.6,8803,19.5
57840,South Perth,2023,46701,6328,13.6,6582,14.1,7773,16.6,6353,13.6,5481,11.7,5249,11.2,8935,19.1
57910,Stirling,2020,232404,39585,17,25806,11.1,40303,17.3,34952,15,28587,12.3,25029,10.8,38142,16.4
57910,Stirling,2021,234322,39823,17,25614,10.9,39474,16.8,36084,15.4,29026,12.4,24980,10.7,39321,16.8
57910,Stirling,2022,236262,40070,17,25521,10.8,39324,16.6,37033,15.7,29129,12.3,25029,10.6,40156,17
57910,Stirling,2023,243871,40578,16.6,26907,11,41804,17.1,38864,15.9,29588,12.1,25067,10.3,41063,16.8
57980,Subiaco,2020,17941,2949,16.4,1898,10.6,2783,15.5,2478,13.8,2218,12.4,2102,11.7,3513,19.6
57980,Subiaco,2021,17902,2855,15.9,1879,10.5,2785,15.6,2492,13.9,2219,12.4,2059,11.5,3613,20.2
57980,Subiaco,2022,18008,2811,15.6,1911,10.6,2793,15.5,2530,14,2189,12.2,2035,11.3,3739,20.8
57980,Subiaco,2023,18870,2803,14.9,2044,10.8,3203,17,2685,14.2,2258,12,2010,10.7,3867,20.5
58050,Swan,2020,153844,33710,21.9,19925,13,24322,15.8,22567,14.7,19923,13,16572,10.8,16825,10.9
58050,Swan,2021,158689,34841,22,20103,12.7,24584,15.5,23680,14.9,20434,12.9,17189,10.8,17858,11.3
58050,Swan,2022,163948,35559,21.7,20583,12.6,25239,15.4,25153,15.3,20862,12.7,17807,10.9,18745,11.4
58050,Swan,2023,171588,36437,21.2,22006,12.8,26764,15.6,26742,15.6,21435,12.5,18423,10.7,19781,11.5
58190,Tammin,2020,399,81,20.3,38,9.5,46,11.5,39,9.8,62,15.5,68,17,65,16.3
58190,Tammin,2021,401,72,18,41,10.2,45,11.2,36,9,63,15.7,66,16.5,78,19.5
58190,Tammin,2022,403,71,17.6,45,11.2,43,10.7,34,8.4,58,14.4,64,15.9,88,21.8
58190,Tammin,2023,404,69,17.1,52,12.9,46,11.4,26,6.4,60,14.9,66,16.3,85,21
58260,Three Springs,2020,582,121,20.8,54,9.3,65,11.2,80,13.7,65,11.2,83,14.3,114,19.6
58260,Three Springs,2021,586,116,19.8,53,9,71,12.1,76,13,71,12.1,79,13.5,120,20.5
58260,Three Springs,2022,587,112,19.1,57,9.7,65,11.1,79,13.5,77,13.1,81,13.8,116,19.8
58260,Three Springs,2023,593,116,19.6,56,9.4,75,12.6,83,14,75,12.6,80,13.5,108,18.2
58330,Toodyay,2020,4611,661,14.3,365,7.9,350,7.6,413,9,708,15.4,945,20.5,1169,25.4
58330,Toodyay,2021,4709,660,14,367,7.8,362,7.7,418,8.9,680,14.4,987,21,1235,26.2
